scope,model,model_wape,baseline_wape,model_bias,baseline_bias,mae,test_weeks,train_rows,test_rows
overall,ridge_regression,0.1046433162424633,0.5048081411632901,0.049109897168411694,-0.13565493417981514,3.5026080008532015,8,3040,320.0
Bedding,ridge_regression,0.16885654808166517,0.42105263157894735,0.06801435863185697,,,8,3040,64.0
Furniture,ridge_regression,0.11311855124752218,0.4942568743473721,0.06459715136769748,,,8,3040,88.0
Home Decor,ridge_regression,0.1025300632891891,0.47659334461364916,0.06665064247759654,,,8,3040,56.0
Kitchen,ridge_regression,0.08742515764230462,0.4689265536723164,0.036769199543498624,,,8,3040,64.0
Lighting,ridge_regression,0.08554951663704298,0.6192522561237646,0.021905942583753446,,,8,3040,48.0
